theme,url,img,lines,author
KINDNESS,/inspirational-quotes/6666-no-act-of-kindness-no-matter-how-small-is,https://assets.passiton.com/quotes/quote_artwork/6666/medium/20290919_friday_quote.jpg,No,act
KINDNESS,/inspirational-quotes/8067-you-can-always-always-give-something-even-if,https://assets.passiton.com/quotes/quote_artwork/8067/medium/20290918_thursday_quote.jpg,You,can
KINDNESS,/inspirational-quotes/4228-good-words-bring-good-feelings-to-the-heart,https://assets.passiton.com/quotes/quote_artwork/4228/medium/20290917_wednesday_quote.jpg,Good,words
KINDNESS,/inspirational-quotes/8368-you-can-be-rich-in-spirit-kindness-love-and,https://assets.passiton.com/quotes/quote_artwork/8368/medium/20290916_tuesday_quote.jpg,You,can
KINDNESS,/inspirational-quotes/7667-kindness-can-become-its-own-motive-we-are-made,https://assets.passiton.com/quotes/quote_artwork/7667/medium/20290915_monday_quote.jpg,Kindness,can
INNOVATION,/inspirational-quotes/8455-don-t-let-anyone-rob-you-of-your-imagination,https://assets.passiton.com/quotes/quote_artwork/8455/medium/20250912_friday_quote.jpg,Don’t,let
INNOVATION,/inspirational-quotes/7382-you-cannot-discover-new-oceans-unless-you-have,https://assets.passiton.com/quotes/quote_artwork/7382/medium/20250911_thursday_quote.jpg,You,cannot
INNOVATION,/inspirational-quotes/8344-innovation-is-to-imagine-the-future-and-fill-in,https://assets.passiton.com/quotes/quote_artwork/8344/medium/20250910_wednesday_quote.jpg,Innovation,is
INNOVATION,/inspirational-quotes/8454-all-sorts-of-things-can-happen-when-you-re-open,https://assets.passiton.com/quotes/quote_artwork/8454/medium/20250909_tuesday_quote.jpg,All,sorts
INNOVATION,/inspirational-quotes/8196-innovation-is-the-ability-to-see-change-as-an,https://assets.passiton.com/quotes/quote_artwork/8196/medium/20250908_monday_quote.jpg,Innovation,is
HARD WORK,/inspirational-quotes/3353-there-is-no-substitute-for-hard-work,https://assets.passiton.com/quotes/quote_artwork/3353/medium/20250905_friday_quote.jpg,There,is
HARD WORK,/inspirational-quotes/7468-the-price-of-success-is-hard-work-dedication,https://assets.passiton.com/quotes/quote_artwork/7468/medium/20250904_thursday_quote.jpg,The,price
HARD WORK,/inspirational-quotes/7893-success-isnt-always-about-greatness-its-about,https://assets.passiton.com/quotes/quote_artwork/7893/medium/20250903_wednesday_quote.jpg,Success,isn't
HARD WORK,/inspirational-quotes/8453-all-labor-that-uplifts-humanity-has-dignity-and,https://assets.passiton.com/quotes/quote_artwork/8453/medium/20250902_tuesday_quote.jpg,All,labor
HARD WORK,/inspirational-quotes/8452-without-labor-nothing-prospers,https://assets.passiton.com/quotes/quote_artwork/8452/medium/20250901_monday_quote.jpg,Without,"labor,"
LISTENING,/inspirational-quotes/8083-listen-with-curiosity-speak-with-honesty-act,https://assets.passiton.com/quotes/quote_artwork/8083/medium/20250829_friday_quote.jpg,Listen,with
LISTENING,/inspirational-quotes/7139-the-most-basic-and-powerful-way-to-connect-to,https://assets.passiton.com/quotes/quote_artwork/7139/medium/20250828_thursday_quote.jpg,The,most
LISTENING,/inspirational-quotes/8426-i-m-a-very-strong-believer-in-listening-and,https://assets.passiton.com/quotes/quote_artwork/8426/medium/20250827_wednesday_quote.jpg,I’m,a
LISTENING,/inspirational-quotes/7609-there-is-a-voice-that-doesn-t-use-words-listen,https://assets.passiton.com/quotes/quote_artwork/7609/medium/20250826_tuesday_quote.jpg,There,is
LISTENING,/inspirational-quotes/7608-listening-is-where-love-begins-listening-to,https://assets.passiton.com/quotes/quote_artwork/7608/medium/20250825_monday_quote.jpg,Listening,is
EDUCATION,/inspirational-quotes/7664-one-child-one-teacher-one-book-one-pen-can,https://assets.passiton.com/quotes/quote_artwork/7664/medium/20250822_friday_quote.jpg,One,"child,"
EDUCATION,/inspirational-quotes/8451-i-found-that-almost-everyone-had-something,https://assets.passiton.com/quotes/quote_artwork/8451/medium/20250821_thursday_quote.jpg,I,found
EDUCATION,/inspirational-quotes/8267-the-best-teachers-are-those-who-show-you-where,https://assets.passiton.com/quotes/quote_artwork/8267/medium/20250820_wednesday_quote.jpg,The,best
EDUCATION,/inspirational-quotes/7932-children-must-be-taught-how-to-think-not-what,https://assets.passiton.com/quotes/quote_artwork/7932/medium/20250819_tuesday_quote.jpg,Children,must
EDUCATION,/inspirational-quotes/6517-the-purpose-of-education-is-to-replace-an-empty,https://assets.passiton.com/quotes/quote_artwork/6517/medium/20250818_monday_quote.jpg,The,purpose
RESPECT,/inspirational-quotes/3239-we-dont-need-to-share-the-same-opinions-as,https://assets.passiton.com/quotes/quote_artwork/3239/medium/20250815_friday_quote.jpg,We,don't
RESPECT,/inspirational-quotes/8081-one-of-the-most-sincere-forms-of-respect-is,https://assets.passiton.com/quotes/quote_artwork/8081/medium/20250814_thursday_quote.jpg,One,of
RESPECT,/inspirational-quotes/8086-respect-is-one-of-the-greatest-expressions-of,https://assets.passiton.com/quotes/quote_artwork/8086/medium/20250813_wednesday_quote.jpg,Respect,is
RESPECT,/inspirational-quotes/8375-let-us-develop-respect-for-all-living-things,https://assets.passiton.com/quotes/quote_artwork/8375/medium/20250812_tuesday_quote.jpg,Let,us
RESPECT,/inspirational-quotes/4404-in-recognizing-the-humanity-of-our-fellow,https://assets.passiton.com/quotes/quote_artwork/4404/medium/20250811_monday_quote.jpg,In,recognizing
DRIVE,/inspirational-quotes/6036-dont-let-the-fear-of-striking-out-hold-you-back,https://assets.passiton.com/quotes/quote_artwork/6036/medium/20250808_friday_quote.jpg,Don't,let
DRIVE,/inspirational-quotes/6266-act-as-if-what-you-do-makes-a-difference-it,https://assets.passiton.com/quotes/quote_artwork/6266/medium/20250807_thursday_quote.jpg,Act,as
DRIVE,/inspirational-quotes/8450-a-champion-is-not-someone-who-wins-all-the,https://assets.passiton.com/quotes/quote_artwork/8450/medium/20250806_wednesday_quote.jpg,A,champion
